method,radius_m,sigma,n_candidates,n_false_alarms
raw,50,0.005039732336997986,317,231
raw,100,0.005039732336997986,318,232
raw,150,0.005039732336997986,318,230
raw,200,0.005039732336997986,318,229
raw,300,0.005039732336997986,311,222
highpass,50,0.0042925765697959485,20,5
highpass,100,0.0042925765697959485,20,5
highpass,150,0.0042925765697959485,20,5
highpass,200,0.0042925765697959485,19,4
highpass,300,0.0042925765697959485,19,5
dc_fft_swap,50,0.006272403473258707,302,247
dc_fft_swap,100,0.006272403473258707,301,245
dc_fft_swap,150,0.006272403473258707,301,244
dc_fft_swap,200,0.006272403473258707,294,238
dc_fft_swap,300,0.006272403473258707,285,229
dc_detrend,50,0.005359673704387483,327,244
dc_detrend,100,0.005359673704387483,327,244
dc_detrend,150,0.005359673704387483,326,240
dc_detrend,200,0.005359673704387483,325,238
dc_detrend,300,0.005359673704387483,318,232
dc_despike,50,0.004742014324665069,280,204
dc_despike,100,0.004742014324665069,279,204
dc_despike,150,0.004742014324665069,278,202
dc_despike,200,0.004742014324665069,279,203
dc_despike,300,0.004742014324665069,276,201
highpass_despike,50,0.0041184325818833245,16,7
highpass_despike,100,0.0041184325818833245,15,6
highpass_despike,150,0.0041184325818833245,15,6
highpass_despike,200,0.0041184325818833245,15,6
highpass_despike,300,0.0041184325818833245,15,6
