radius_m,t0_s,method,recovered,recovered_snr,offset_ms,chi2_reduced,n_local_candidates
50,1765924457.765908,raw,True,7.5909674622865175,0.36525726318359375,0.8895101846228142,25
50,1765924457.765908,highpass,True,8.670779796901556,-2.256155014038086,1.1109570418732688,3
50,1765924457.765908,dc_fft_swap,False,,,,4
50,1765924457.765908,dc_detrend,True,7.13783082680346,0.36525726318359375,0.7864826860811025,20
50,1765924457.765908,dc_despike,True,8.06755137575148,0.36525726318359375,1.0047086579184268,26
50,1765924457.765908,highpass_despike,True,9.037415438525718,-2.256155014038086,1.20689488162397,3
50,1765924751.3316693,raw,True,13.737075258725618,-5.0106048583984375,0.4644236677047977,20
50,1765924751.3316693,highpass,True,7.031059705517454,-3.9620399475097656,0.5063479592328635,1
50,1765924751.3316693,dc_fft_swap,False,,,,4
50,1765924751.3316693,dc_detrend,True,12.917051711655668,-5.0106048583984375,0.41063180610010885,20
50,1765924751.3316693,dc_despike,True,14.599530422562422,-5.0106048583984375,0.5245701375337273,21
50,1765924751.3316693,highpass_despike,True,7.328361349292488,-3.9620399475097656,0.5500741588427657,1
50,1765924728.1571846,raw,False,,,,27
50,1765924728.1571846,highpass,True,6.14782098063719,-4.055500030517578,0.6046525058940767,2
50,1765924728.1571846,dc_fft_swap,False,,,,4
50,1765924728.1571846,dc_detrend,False,,,,27
50,1765924728.1571846,dc_despike,False,,,,27
50,1765924728.1571846,highpass_despike,True,6.407775718575739,-4.055500030517578,0.6568678958946769,2
50,1765924651.7813983,raw,True,13.00705431905163,-0.7777214050292969,1.4576845984454838,30
50,1765924651.7813983,highpass,True,6.350561693947629,-0.7777214050292969,1.9324423551176853,3
50,1765924651.7813983,dc_fft_swap,False,,,,3
50,1765924651.7813983,dc_detrend,True,5.594422088468698,-0.25343894958496094,1.3144820998067095,30
50,1765924651.7813983,dc_despike,True,13.823676558683484,-0.7777214050292969,1.6464660685066204,32
50,1765924651.7813983,highpass_despike,False,,,,3
50,1765924787.4215963,raw,True,17.312903921396043,0.19407272338867188,0.7507332055596664,31
50,1765924787.4215963,highpass,True,7.154893680645792,0.19407272338867188,0.9970251815680786,2
50,1765924787.4215963,dc_fft_swap,False,,,,5
50,1765924787.4215963,dc_detrend,True,16.27942418744133,0.19407272338867188,0.6637795477172763,31
50,1765924787.4215963,dc_despike,True,18.39986043191921,0.19407272338867188,0.8479589828783006,27
