wavelength(nm),transmission(%)
200.319,0.0247586
244.592,0.107287
268.097,0.272345
276.312,2.33556
282.474,7.61740
282.930,7.69993
287.038,15.6227
293.656,26.8466
300.958,38.8545
307.805,45.8694
316.248,51.4814
334.733,59.1978
360.064,66.6254
389.046,73.1452
427.157,79.2110
467.777,83.6676
516.385,87.5464
564.993,89.9810
568.416,89.0732
584.391,90.5587
588.270,87.2576
602.419,91.0952
624.783,91.9617
627.750,90.2699
641.442,92.4569
648.060,89.7334
663.122,92.9520
685.258,93.2409
686.627,80.6965
686.627,80.6965
693.245,88.8256
711.730,91.9204
719.032,79.0460
727.020,84.0802
735.920,90.6825
742.994,93.8186
747.102,94.4788
754.404,94.5614
757.827,94.3550
760.338,40.5463
769.694,94.3550
778.366,94.9740
786.581,94.6852
789.776,92.3744
795.025,92.6632
807.576,93.0346
815.792,85.0706
823.779,84.8642
831.082,90.1873
835.418,92.5394
845.687,94.3963
854.587,95.0565
867.138,95.7168
884.254,95.5517
999.270,96.1294
