wavelength(nm),transmission(%)
200.399,0.174216
228.457,0.174216
258.797,0.215208
268.606,0.461160
276.590,2.34679
282.521,7.38881
286.855,14.4804
291.189,22.3509
297.120,31.9430
302.823,39.9365
310.807,46.3722
321.072,52.1521
339.321,58.8338
358.027,64.3267
377.417,68.8358
400.456,73.1810
434.445,78.2230
467.750,81.9123
498.546,84.4538
536.185,87.0363
565.155,88.3890
569.261,87.5692
583.633,89.1679
589.564,86.1345
601.882,89.7008
624.465,90.7665
627.887,88.7579
631.765,90.0697
640.205,91.1355
645.908,90.2746
647.049,88.8399
654.805,90.2337
661.648,91.6684
672.370,92.0783
684.460,92.3242
685.600,86.8723
686.741,79.7807
689.478,87.7331
697.690,88.7169
706.359,89.9057
712.062,90.7256
714.571,89.8647
719.361,78.3050
723.924,82.5681
731.451,84.4128
733.276,88.7579
739.664,90.8075
744.454,93.1851
757.000,93.6360
758.597,74.6567
759.966,40.3464
770.003,93.5130
775.934,94.2509
782.321,94.1689
786.427,93.1031
788.252,91.7914
790.989,91.0535
798.517,91.5454
803.992,92.2833
806.958,92.7342
815.854,83.9619
822.013,84.0029
828.857,88.6350
845.737,94.2919
859.196,95.1527
879.270,94.9887
889.535,94.5378
998.346,95.5216
