wavelength , qe
260 , 0.07808
280 , 0.06716
300 , 0.27464
320 , 0.36429
340 , 0.39129
360 , 0.38849
370 , 0.42558
380 , 0.40341
390 , 0.44429
400 , 0.46920
410 , 0.48975
420 , 0.51251
430 , 0.51712
440 , 0.51692
450 , 0.53036
460 , 0.54480
470 , 0.54929
480 , 0.54339
490 , 0.53025
500 , 0.53153
510 , 0.50524
520 , 0.49342
530 , 0.47551
540 , 0.46091
550 , 0.45001
560 , 0.43769
570 , 0.41988
580 , 0.40836
590 , 0.40040
600 , 0.38182
610 , 0.36712
620 , 0.35179
630 , 0.34324
640 , 0.32525
650 , 0.30838
660 , 0.29722
670 , 0.28511
680 , 0.27471
690 , 0.25705
700 , 0.24460
710 , 0.23108
720 , 0.21977
730 , 0.20766
740 , 0.19580
750 , 0.18340
760 , 0.17368
770 , 0.16491
780 , 0.15456
790 , 0.14518
800 , 0.13379
810 , 0.12220
820 , 0.11232
830 , 0.10433
840 , 0.09667
850 , 0.08889
860 , 0.08079
870 , 0.07296
880 , 0.06562
890 , 0.05925
900 , 0.05286
910 , 0.04754
920 , 0.04217
930 , 0.03734
940 , 0.03298
950 , 0.02910
960 , 0.02528
970 , 0.02179
980 , 0.01898
990 , 0.01664
1000 , 0.01468
