Wavelength[nm]		Amplitude[a.u.]
357.437012		0.647561
358.793378		4.201441
360.149744		1.030495
361.506110		3.311822
362.862476		3.624883
364.218842		4.882040
365.575208		6.354365
366.931573		5.599240
368.287939		5.323700
369.644305		6.533434
371.000671		5.670884
372.357037		4.182022
373.713403		3.363396
375.069769		4.359122
376.426135		3.756440
377.782501		6.953336
379.138867		4.698842
380.495233		5.382732
381.851599		2.327388
383.207965		2.311260
384.564331		4.133154
385.920697		2.500469
387.277063		3.548801
388.633429		2.836443
389.989795		5.014344
391.346161		5.777016
392.702527		2.368114
394.058893		3.298834
395.415259		5.710235
396.771625		1.017807
398.127991		6.042664
399.484357		8.028797
400.840723		9.476153
402.197089		9.251975
403.553455		10.242030
404.909821		9.971985
406.266187		5.203987
407.622552		6.657876
408.978918		11.439882
410.335284		9.847561
411.691650		9.625979
413.048016		7.734512
414.404382		7.973225
415.760748		10.972089
417.117114		8.032067
418.473480		10.520662
419.829846		8.333686
421.186212		10.828219
422.542578		4.243371
423.898944		10.051179
425.255310		9.075457
426.611676		11.580956
427.968042		9.836954
429.324408		9.676636
430.680774		5.477797
432.037140		12.783501
433.393506		14.542546
434.749872		14.004655
436.106238		13.607723
437.462604		10.594591
438.818970		11.064920
440.175336		12.125399
441.531702		11.183217
442.888068		11.330343
444.244434		11.779858
445.600800		11.654705
446.957166		12.688878
448.313531		14.828414
449.669897		14.101606
451.026263		15.683247
452.382629		13.580116
453.738995		14.712824
455.095361		13.548610
456.451727		13.159864
457.808093		13.186125
459.164459		13.290993
460.520825		13.982910
461.877191		14.540777
463.233557		14.384452
464.589923		11.926687
465.946289		15.526503
467.302655		13.470645
468.659021		13.453620
470.015387		13.014830
471.371753		12.879004
472.728119		11.897727
474.084485		13.210233
475.440851		12.969862
476.797217		13.632496
478.153583		12.865873
479.509949		13.625888
480.866315		12.988972
482.222681		12.556924
483.579047		12.909726
484.935413		12.651573
486.291779		11.212880
487.648145		12.417181
489.004510		10.396492
490.360876		12.872122
491.717242		10.685717
493.073608		12.330010
494.429974		12.222260
495.786340		11.594594
497.142706		12.225199
498.499072		10.843491
499.855438		10.822377
501.211804		9.375981
502.568170		10.551971
503.924536		8.482410
505.280902		11.480848
506.637268		10.632444
507.993634		9.184823
509.350000		11.352657
510.706366		9.670231
512.062732		9.713632
513.419098		10.226806
514.775464		9.345170
516.131830		9.593749
517.488196		9.169687
518.844562		9.506419
520.200928		8.807564
521.557294		8.715625
522.913660		8.954508
524.270026		9.234450
525.626392		8.913022
526.982758		6.452085
528.339124		7.612133
529.695490		6.739968
531.051855		8.064331
532.408221		6.952911
533.764587		6.993670
535.120953		7.190516
536.477319		6.685666
537.833685		6.796898
539.190051		5.907843
540.546417		5.086160
541.902783		5.899090
543.259149		5.138027
544.615515		4.943740
545.971881		5.505389
547.328247		4.958291
548.684613		4.944427
550.040979		4.848697
551.397345		4.642818
552.753711		4.516857
554.110077		4.789312
555.466443		4.612561
556.822809		4.262388
558.179175		4.333892
559.535541		4.198662
560.891907		4.276936
562.248273		3.846497
563.604639		3.773080
564.961005		3.748147
566.317371		3.670765
567.673737		3.709104
569.030103		3.599098
570.386469		3.262867
571.742834		3.435481
573.099200		3.234345
574.455566		3.332616
575.811932		3.096520
577.168298		3.064026
578.524664		2.791400
579.881030		2.919701
581.237396		2.807091
582.593762		2.795268
583.950128		2.747525
585.306494		2.465341
586.662860		2.480748
588.019226		2.393539
589.375592		2.069170
590.731958		2.289135
592.088324		2.175484
593.444690		2.089891
594.801056		2.051587
596.157422		2.033091
597.513788		1.857191
598.870154		1.823864
600.226520		1.773317
601.582886		1.680285
602.939252		1.683295
604.295618		1.630836
605.651984		1.563539
607.008350		1.543666
608.364716		1.387502
609.721082		1.349183
611.077448		1.316992
612.433813		1.238351
613.790179		1.122885
615.146545		1.143687
616.502911		1.038722
617.859277		1.030669
619.215643		0.979463
620.572009		0.979346
621.928375		0.843080
623.284741		0.846159
624.641107		0.794879
625.997473		0.735975
627.353839		0.748034
628.710205		0.711985
630.066571		0.621067
631.422937		0.599056
632.779303		0.607327
634.135669		0.568738
635.492035		0.534696
636.848401		0.519933
638.204767		0.486610
639.561133		0.450414
640.917499		0.420635
642.273865		0.411341
643.630231		0.388661
644.986597		0.349993
646.342963		0.343404
647.699329		0.329815
649.055695		0.288610
650.412061		0.288007
651.768427		0.265940
653.124792		0.247038
654.481158		0.232710
655.837524		0.194442
657.193890		0.186173
658.550256		0.183543
659.906622		0.165698
661.262988		0.155885
662.619354		0.144892
663.975720		0.131619
665.332086		0.122927
666.688452		0.109207
668.044818		0.100066
669.401184		0.087714
670.757550		0.076869
